	amicus	argDate	argMonth	argYear	caseName	cutoffs_ALL	cutoffs_BREYER	cutoffs_GINSBURG	cutoffs_KENNEDY	cutoffs_ROBERTS	cutoffs_SCALIA	decDate	majVotes	minVotes	winner	words_BREYER	words_GINSBURG	words_KENNEDY	words_ROBERTS	words_SCALIA
04-698	-1	2005-10-05	10	2005	SCHAFFER, A MINOR, BY HIS PARENTS AND NEXT FRIENDS, SCHAFFER, ET VIR, et al. v. WEAST, SUPERINTENDENT, MONTGOMERY COUNTY PUBLIC SCHOOLS, et al.	17.0	0.125	0.2222222222222222	0.2727272727272727	0.0	0.034482758620689655	2005-11-14	6	2	0	-0.2289156626506024	0.3127962085308057	-0.06962025316455696	0.0	0.012805587892898719
04-712	0	2005-10-11	10	2005	LINCOLN PROPERTY COMPANY, et al. v. CHRISTOPHE ROCHE, ET UX.	33.0	0.7894736842105263	0.16666666666666666	0.0	-0.6	1.0	2005-11-29	9	0	1	0.7468354430379747	0.04052780395852969	0.0	-0.43157894736842106	1.0
04-721	0	2005-11-09	11	2005	MIKE EVANS, ACTING WARDEN v. REGINALD CHAVIS	-24.0	-0.3157894736842105	-1.0	0.2	-0.2	0.15151515151515152	2006-01-10	9	0	1	-0.13796212804328223	-0.6060606060606061	0.1951219512195122	-0.2616279069767442	0.15197956577266922
04-759	0	2005-10-12	10	2005	UNITED STATES v. JOSEPH OLSON, et al.	-3.0	1.0	-0.6666666666666666	-0.3333333333333333	-0.16666666666666666	0.2857142857142857	2005-11-08	9	0	1	1.0	-0.1919191919191919	-0.6463768115942029	0.19140625	0.3902439024390244
04-805	1	2006-01-10	01	2006	TEXACO INC. v. FOUAD N. DAGHER, et al.	3.0	-0.3333333333333333	1.0	-1.0	-0.3333333333333333	0.8	2006-02-28	8	0	1	0.19411764705882353	0.6908517350157729	-0.4315068493150685	0.3824561403508772	0.7896440129449838
04-848	0	2005-11-07	11	2005	BARBARA DOLAN v. UNITED STATES POSTAL SERVICE et al.	46.0	0.7142857142857143	0.16666666666666666	1.0	0.14285714285714285	0.2413793103448276	2006-02-22	7	1	1	0.3351206434316354	0.044897959183673466	1.0	-0.3192090395480226	0.222011385199241
04-881	0	2005-11-02	11	2005	JAMES LOCKHART v. UNITED STATES et al.	-31.0	-0.5238095238095238	1.0	-0.75	0.0	-1.0	2005-12-07	9	0	0	-0.3448275862068966	1.0	-0.5311355311355311	-0.39473684210526316	-0.8348623853211009
04-885	0	2005-10-31	10	2005	CENTRAL VIRGINIA COMMUNITY COLLEGE, et al. v. BERNARD KATZ, LIQUIDATING SUPERVISOR FOR WALLACE'S BOOKSTORES, INC.	3.0	1.0	0.0	-0.7142857142857143	1.0	0.375	2006-01-23	5	4	0	0.1794871794871795	-0.3047034764826176	-0.5601851851851852	0.8362989323843416	-0.06069364161849711
04-8990	0	2006-01-11	01	2006	PAUL GREGORY HOUSE v. RICKY BELL, WARDEN	20.0	0.8461538461538461	0.6	1.0	-0.3333333333333333	-0.6	2006-06-12	5	3	1	0.7304415182029435	0.46195652173913043	0.3805309734513274	-0.3333333333333333	-0.6821052631578948
04-905	1	2005-10-31	10	2005	VOLVO TRUCKS NORTH AMERICA, INC. v. REEDER-SIMCO GMC, INC.	-47.0	-0.5172413793103449	-0.2	-0.3333333333333333	0.23076923076923078	0.6	2006-01-10	7	2	1	-0.05009276437847866	0.10849056603773585	-0.6514522821576764	0.2320675105485232	0.5479744136460555
