	amicus	argDate	argMonth	argYear	caseName	cutoffs_ALL	cutoffs_BREYER	cutoffs_GINSBURG	cutoffs_KENNEDY	cutoffs_ROBERTS	cutoffs_SCALIA	decDate	majVotes	minVotes	winner	words_BREYER	words_GINSBURG	words_KENNEDY	words_ROBERTS	words_SCALIA
05-746	0	2006-10-10	10	2006	NORFOLK SOUTHERN RAILWAY COMPANY v. TIMOTHY SORRELL	5.0	0.3333333333333333	-1.0	-1.0	0.75	0.2	2007-01-10	9	0	1	-0.23874755381604695	-1.0	0.14035087719298245	0.506426735218509	0.3140916808149406
05-785	0	2006-10-11	10	2006	THOMAS L. CAREY, WARDEN v. MATHEW MUSLADIN	-1.0	0.0	1.0	-0.3333333333333333	0.6666666666666666	0.6	2006-12-11	9	0	1	0.3601953601953602	0.41262135922330095	-0.5257352941176471	-0.06622516556291391	0.04512372634643377
05-83	1	2006-04-17	04	2006	WASHINGTON v. ARTURO R. RECUENCO	5.0	1.0	-1.0	-0.16666666666666666	1.0	-1.0	2006-06-26	7	2	1	1.0	-1.0	-0.1662269129287599	0.3402061855670103	-0.7818181818181819
05-848	1	2006-11-01	11	2006	ENVIRONMENTAL DEFENSE, et al. v. DUKE ENERGY CORPORATION, et al.	12.0	1.0	1.0	-1.0	-0.3333333333333333	0.42857142857142855	2007-04-02	9	0	1	0.4392191659272405	-0.5299539170506913	-0.3026315789473684	-0.3284671532846715	-0.44130434782608696
05-85	1	2007-04-16	04	2007	POWEREX CORP. v. RELIANT ENERGY SERVICES, INC., et al.	-6.0	0.25	-0.45454545454545453	0.0	-0.2	-0.2	2007-06-18	7	2	1	0.334070796460177	-0.29372937293729373	0.12663755458515283	-0.5182795698924731	-0.7166666666666667
05-8794	-1	2006-04-26	04	2006	CLARENCE E. HILL v. JAMES R. MCDONOUGH, INTERIM SECRETARY, FLORIDA DEPARTMENT OF CORRECTIONS, et al.	4.0	1.0	0.2727272727272727	0.0	-0.42857142857142855	-0.6	2006-06-12	9	0	1	1.0	0.4169184290030212	-0.08205128205128205	-0.09578544061302682	-0.6696517412935323
05-8820	0	2006-10-31	10	2006	GARY LAWRENCE v. FLORIDA	-5.0	0.0	0.5	1.0	-1.0	0.0	2007-02-20	5	4	0	0.5204513399153737	0.41920374707259955	0.2631578947368421	-0.9167455061494797	0.6889763779527559
05-908	1	2006-12-04	12	2006	PARENTS INVOLVED IN COMMUNITY SCHOOLS v. SEATTLE SCHOOL DISTRICT NO. 1 et al.	5.0	-0.2	-1.0	-0.3333333333333333	1.0	0.7142857142857143	2007-06-28	5	4	1	-0.5146443514644351	-0.5146299483648882	-0.14782608695652175	0.5608856088560885	0.3530751708428246
05-9222	-1	2006-11-07	11	2006	LONNIE LEE BURTON v. BELINDA STEWART, SUPERINTENDENT, STAFFORD CREEK CORRECTIONS CENTER	10.0	1.0	1.0	-1.0	0.5	1.0	2007-01-09	9	0	0	0.662771285475793	-0.5902439024390244	-1.0	-0.29767441860465116	1.0
05-9264	0	2006-11-07	11	2006	ALPHONSO JAMES, JR. v. UNITED STATES	8.0	0.5	0.0	0.0	-0.6	-0.42857142857142855	2007-04-18	5	4	0	0.225531914893617	-0.12658227848101267	0.6421052631578947	-0.41914191419141916	-0.5
05-983	1	2007-02-27	02	2007	JACOB WINKELMAN, A MINOR, BY AND THROUGH HIS PARENTS AND LEGAL GUARDIANS, JEFF AND SANDEE WINKELMAN, et al. v. PARMA CITY SCHOOL DISTRICT	2.0	1.0	1.0	0.0	-0.7777777777777778	-0.6666666666666666	2007-05-21	7	2	1	1.0	-0.2222222222222222	-0.4090909090909091	-0.18072289156626506	-0.5719745222929936
05-996	-1	2006-11-06	11	2006	ROBERT LOUIS MARRAMA v. CITIZENS BANK OF MASSACHUSETTS, et al.	3.0	-1.0	1.0	1.0	0.75	-0.09090909090909091	2007-02-21	5	4	0	-0.7781954887218046	-0.734475374732334	-0.4645669291338583	0.541501976284585	-0.6104575163398693
05-998	0	2006-10-10	10	2006	UNITED STATES v. JUAN RESENDIZ-PONCE	13.0	0.5	0.75	-1.0	1.0	0.0	2007-01-19	8	1	1	0.18586572438162544	0.26153846153846155	-0.37897310513447435	-0.2064516129032258	0.3827751196172249
06-1005	0	2007-10-03	10	2007	UNITED STATES v. EFRAIN SANTOS AND BENEDICTO DIAZ	-5.0	-0.3333333333333333	-1.0	0.6	0.6666666666666666	-0.2	2008-06-02	5	4	0	-0.612565445026178	-0.5728155339805825	-0.10687022900763359	0.6004842615012107	0.1492361927144536
06-10119	0	2007-12-04	12	2007	ALLEN SNYDER v. LOUISIANA	-1.0	1.0	1.0	1.0	-0.8461538461538461	-0.4666666666666667	2008-03-19	7	2	1	0.8886827458256029	0.62	1.0	-0.47884187082405344	-0.6273504273504273
06-102	0	2007-01-09	01	2007	SINOCHEM INTERNATIONAL CO., LTD. v. MALAYSIA INTERNATIONAL SHIPPING CORPORATION	3.0	0.0	1.0	-1.0	-1.0	0.6	2007-03-05	9	0	1	0.0	0.4864433811802233	-1.0	-0.6551724137931034	0.7905138339920948
06-1037	0	2008-01-09	01	2008	KY. RET. SYS. v. EEOC	13.0	-0.14285714285714285	1.0	0.0	1.0	0.3333333333333333	2008-06-19	5	4	1	-0.18581560283687942	0.018867924528301886	-1.0	0.27485380116959063	0.6461538461538462
06-1082	1	2008-01-14	01	2008	VIRGINIA v. DAVID LEE MOORE	-3.0	1.0	-1.0	0.5555555555555556	0.8333333333333334	-0.7647058823529411	2008-04-23	9	0	1	1.0	-1.0	0.5294117647058824	0.6977272727272728	-0.4336917562724014
06-11206	0	2008-11-10	11	2008	DEONDERY CHAMBERS v. UNITED STATES	8.0	1.0	1.0	0.09090909090909091	-0.1111111111111111	-0.5555555555555556	2009-01-13	9	0	1	1.0	0.7851239669421488	0.34285714285714286	-0.16535433070866143	-0.4682274247491639
06-11429	0	2008-03-24	03	2008	KEITH LAVON BURGESS v. UNITED STATES	-24.0	-1.0	-1.0	-0.7142857142857143	-0.3333333333333333	-1.0	2008-04-16	9	0	0	-1.0	-0.7031802120141343	-0.5518672199170125	-0.38461538461538464	-1.0
06-11543	0	2008-01-15	01	2008	LARRY BEGAY v. UNITED STATES	-13.0	0.3333333333333333	-0.3333333333333333	0.0	-0.5384615384615384	0.75	2008-04-16	6	3	1	0.5696969696969697	0.4225721784776903	-0.2045977011494253	-0.5082508250825083	0.4205607476635514
06-116	0	2007-01-08	01	2007	ALICIA G. LIMTIACO, ATTORNEY GENERAL OF GUAM v. FELIX P. CAMACHO, GOVERNOR OF GUAM	10.0	-0.5	0.0	-0.2	0.2	0.0	2007-03-27	5	4	1	-0.13357400722021662	0.2948517940717629	-0.25287356321839083	0.039711191335740074	0.44878048780487806
06-11612	0	2008-01-08	01	2008	HOMERO GONZALEZ v. UNITED STATES	-8.0	0.0	0.3333333333333333	0.0	0.1111111111111111	-0.6363636363636364	2008-05-12	8	1	0	0.0	-0.373134328358209	0.017543859649122806	-0.20216606498194944	-0.7596899224806202
06-1164	0	2007-11-06	11	2007	JOHN R. SAND & GRAVEL COMPANY v. UNITED STATES	0.0	-0.3333333333333333	0.4	0.3333333333333333	-0.42857142857142855	-1.0	2008-01-08	7	2	0	-0.02594810379241517	0.32972972972972975	-0.08085106382978724	-0.6310679611650486	-1.0
06-1181	0	2008-01-07	01	2008	DADA v. MUKASEY	2.0	0.38461538461538464	0.3333333333333333	0.3333333333333333	-0.6363636363636364	0.14285714285714285	2008-06-16	5	4	1	0.42036553524804177	-0.011278195488721804	0.1793103448275862	-0.8519515477792732	-0.25950413223140495
06-1195	0	2007-12-05	12	2007	BOUMEDIENE v. BUSH	14.0	0.6666666666666666	0.3333333333333333	0.0	-0.5555555555555556	-0.6923076923076923	2008-06-12	5	4	1	0.5282051282051282	0.19753086419753085	0.09848484848484848	-0.4592496765847348	-0.7777777777777778
06-1204	1	2008-03-17	03	2008	PHILIPPINES v. PIMENTEL	-2.0	1.0	0.42857142857142855	-0.14285714285714285	-1.0	0.0	2008-06-12	7	2	1	1.0	0.43912175648702595	-0.4161490683229814	-0.3733075435203095	0.5166666666666667
06-1221	1	2007-12-03	12	2007	SPRINT/UNITED MANAGEMENT COMPANY v. ELLEN MENDELSOHN	-17.0	0.2727272727272727	-1.0	-0.75	0.25	-0.2	2008-02-26	9	0	1	-0.01671583087512291	-0.9289340101522843	-0.4492099322799097	0.14715189873417722	-0.10012062726176116
06-1249	1	2008-11-03	11	2008	WYETH v. DIANA LEVINE	9.0	-1.0	-1.0	-0.3333333333333333	0.5	0.5	2009-03-04	6	3	0	0.14661654135338345	-0.7890625	-0.18849840255591055	0.40115163147792704	0.6455399061032864
06-1286	0	2007-11-27	11	2007	MICHAEL J. KNIGHT, TRUSTEE OF THE WILLIAM L. RUDKIN TESTAMENTARY TRUST v. COMMISSIONER OF INTERNAL REVENUE	10.0	0.3333333333333333	0.3333333333333333	-0.3333333333333333	-0.07692307692307693	0.25	2008-01-16	9	0	0	-0.05361930294906166	0.12770137524557956	-0.5632911392405063	-0.2803030303030303	0.5644859813084112
06-1287	1	2007-11-05	11	2007	CSX TRANSPORTATION, INC. v. GEORGIA STATE BOARD OF EQUALIZATION ET AL	11.0	1.0	0.0	1.0	-0.42857142857142855	0.2857142857142857	2007-12-04	9	0	1	1.0	0.4678111587982833	-0.7338709677419355	-0.5	0.3215962441314554
06-1321	0	2008-02-19	02	2008	MYRNA GOMEZ-PEREZ v. JOHN E. POTTER, POSTMASTER GENERAL	12.0	0.0	0.7142857142857143	0.0	-0.09090909090909091	-0.7777777777777778	2008-05-27	6	3	1	-0.2667578659370725	0.5747422680412371	0.0	-0.35217903415783275	-0.6963562753036437
06-1322	-1	2007-11-06	11	2007	FEDERAL EXPRESS CORPORATION v. PAUL HOLOWECKI, ET AL	-4.0	0.3333333333333333	-0.5	1.0	-0.2727272727272727	0.058823529411764705	2008-02-27	7	2	0	0.626848691695108	-0.9033018867924528	1.0	-0.3473344103392569	0.28034682080924855
06-134	1	2007-04-24	04	2007	THE PERMANENT MISSION OF INDIA TO THE UNITED NATIONS, et al. v. CITY OF NEW YORK, NEW YORK	-4.0	0.2	-0.5555555555555556	0.3333333333333333	0.3333333333333333	-0.3333333333333333	2007-06-14	7	2	0	0.16030534351145037	-0.7094017094017094	-0.030927835051546393	-0.323943661971831	-0.31163547599674535
06-1413	0	2008-01-16	01	2008	MEADWESTVACO CORPORATION, SUCCESSOR IN INTEREST TO THE MEAD CORPORATION v. ILLINOIS DEPARTMENT OF REVENUE ET AL	-4.0	-0.3333333333333333	-0.8181818181818182	0.45454545454545453	-0.6	0.75	2008-04-15	9	0	0	0.19008264462809918	-0.33273056057866185	0.4493927125506073	-0.31116389548693585	0.4372623574144487
06-1431	-1	2008-03-27	03	2008	CBOCS WEST, INC. v. HEDRICK G. HUMPHRIES	-4.0	-1.0	-0.2	0.38461538461538464	0.8333333333333334	-0.7142857142857143	2008-05-27	7	2	0	-0.7002457002457002	-0.673289183222958	0.5340253748558247	0.4139650872817955	-0.11581291759465479
06-1456	0	2008-02-25	02	2008	HUMBERTO FIDEL REGALADO CUELLAR v. UNITED STATES	-11.0	-0.14285714285714285	0.0	-0.14285714285714285	-0.25	0.09090909090909091	2008-06-02	9	0	1	0.23138832997987926	0.07153284671532846	0.1891891891891892	-0.10977443609022557	0.10075187969924812
06-1457	1	2008-02-19	02	2008	MORGAN STANLEY CAPITAL GROUP INC. v. PUBLIC UTILITY DISTRICT NO. 1 OF SNOHOMISH COUNTY, WASHINGTON, et al.	2.0	0.0	-0.6666666666666666	-0.2	0.0	-0.5	2008-06-26	5	2	1	0.0	-0.8259109311740891	-0.10144927536231885	0.0	0.02418207681365576
06-1463	0	2007-12-04	12	2007	ARNOLD M. PRESTON v. ALEX E. FERRER	24.0	0.2727272727272727	1.0	0.7777777777777778	-1.0	0.75	2008-02-20	8	1	1	-0.08673469387755102	0.47930574098798395	0.28546409807355516	-0.2330508474576271	0.5257452574525745
06-1498	1	2008-02-02	02	2008	WARNER-LAMBERT CO., LLC, et al. v. KIMBERLY KENT et al.	1.0	0.7142857142857143	-0.2	0.7142857142857143	0.0	-0.25	2008-03-03	4	4	0	0.7811634349030471	-0.24875621890547264	0.5261324041811847	0.0	-0.19047619047619047
06-1505	1	2008-04-23	04	2008	MEACHAM v. KNOLLS ATOMIC POWER LAB.	-3.0	0.0	0.3333333333333333	-0.8	-0.6	0.0	2008-06-19	7	1	1	0.0	-0.22283609576427257	-0.9145299145299145	-0.6420581655480985	-1.0
06-1509	0	2008-01-08	01	2008	MICHAEL H. BOULWARE v. UNITED STATES	15.0	0.5384615384615384	0.3333333333333333	-0.2	0.3333333333333333	0.07692307692307693	2008-03-03	9	0	1	0.5804529201430274	0.28703703703703703	-0.5698924731182796	0.29754601226993865	0.31305449936628643
06-157	0	2007-02-25	02	2007	JAY F. HEIN, DIRECTOR, WHITE HOUSE OFFICE OF FAITH-BASED AND COMMUNITY INITIATIVES, et al. v. FREEDOM FROM RELIGION FOUNDATION, INC., et al.	-1.0	-0.4666666666666667	-1.0	-1.0	0.8823529411764706	0.08333333333333333	2007-06-25	5	4	1	0.17618469015795868	-0.5799256505576208	0.022900763358778626	0.48847926267281105	0.1446111869031378
06-1595	1	2008-10-08	10	2008	VICKY S. CRAWFORD v. METROPOLITAN GOVERNMENT OF NASHVILLE AND DAVIDSON COUNTY, TENNESSEE	-2.0	-1.0	-1.0	-1.0	-0.2	0.3333333333333333	2009-01-26	9	0	1	-0.42596810933940776	0.34	-0.7941176470588235	-0.212636695018226	0.38841405508072174
06-1646	0	2008-01-15	01	2008	UNITED STATES v. GINO RODRIQUEZ	7.0	1.0	0.0	0.5	0.07692307692307693	-0.5555555555555556	2008-05-19	6	3	1	1.0	-0.2484076433121019	0.3181818181818182	0.2318668252080856	-0.6155419222903885
06-1666	0	2008-03-25	03	2008	MUNAF v. GEREN	-4.0	-0.7777777777777778	-0.25	0.6666666666666666	0.3333333333333333	-1.0	2008-06-12	9	0	0	-0.28662420382165604	-0.20572916666666666	0.6887608069164265	0.4482758620689655	0.52
06-1717	0	2008-03-19	03	2008	RICHLIN SECURITY SERVICE COMPANY v. MICHAEL CHERTOFF, SECRETARY OF HOMELAND SECURITY	1.0	-0.5	1.0	0.6	0.09090909090909091	-0.7142857142857143	2008-06-02	9	0	1	0.11854103343465046	0.5163398692810458	0.03536977491961415	0.4594594594594595	-0.30798479087452474
06-179	-1	2007-12-04	12	2007	DONNA S. RIEGEL, INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF CHARLES R. RIEGEL v. MEDTRONIC, INC.	-9.0	-0.5	0.0	0.38461538461538464	-0.45454545454545453	-0.8461538461538461	2008-02-20	8	1	0	-0.9509803921568627	-0.0614406779661017	0.08411214953271028	-0.518796992481203	-0.7697642163661581
06-219	0	2007-03-19	03	2007	CHARLES WILKIE, et al. v. HARVEY FRANK ROBBINS	-17.0	0.2	-0.8666666666666667	0.0	0.3333333333333333	-0.5714285714285714	2007-06-25	7	2	1	0.46547884187082406	-0.9388379204892966	0.23076923076923078	0.25689084895259096	-0.22859830667920977
06-278	1	2007-03-19	03	2007	DEBORAH MORSE, et al. v. JOSEPH FREDERICK	8.0	0.4	0.5	0.1111111111111111	0.5	0.391304347826087	2007-06-25	5	4	1	0.5227799227799228	-0.1153184165232358	-0.1227364185110664	0.367170626349892	0.5627996164908916
06-313	0	2007-03-21	03	2007	DON ROPER, SUPERINTENDENT, POTOSI CORRECTIONAL CENTER v. WILLIAM WEAVER	8.0	0.0	-1.0	0.1111111111111111	1.0	0.45454545454545453	2007-05-21	6	3	0	0.25645438898450945	-0.8175182481751825	0.04038772213247173	0.3996789727126806	0.5366614664586583
06-340	0	2007-04-17	04	2007	NATIONAL ASSOCIATION OF HOME BUILDERS, et al. v. DEFENDERS OF WILDLIFE et al.	6.0	1.0	-1.0	1.0	0.6	0.6923076923076923	2007-06-25	5	4	1	0.13718070009460737	-1.0	0.5980392156862745	0.6905311778290993	0.5816993464052288
06-376	0	2007-04-23	04	2007	JOHN F. HINCK, ET UX. v. UNITED STATES	5.0	0.7777777777777778	-0.6666666666666666	0.0	-0.5	-0.14285714285714285	2007-05-21	9	0	0	0.8309178743961353	-0.7230769230769231	0.5362318840579711	0.15455475946775846	0.04228855721393035
06-413	1	2007-04-17	04	2007	JEFFREY UTTECHT, SUPERINTENDENT, WASHINGTON STATE PENITENTIARY v. CAL COBURN BROWN	-5.0	-1.0	0.3333333333333333	0.0	0.7777777777777778	1.0	2007-06-04	5	4	1	-0.11071428571428571	0.11447811447811448	0.22653721682847897	0.3984251968503937	0.37992831541218636
06-427	1	2007-04-18	04	2007	TENNESSEE SECONDARY SCHOOL ATHLETIC ASSOCIATION v. BRENTWOOD ACADEMY	2.0	0.75	1.0	-0.6	-0.7777777777777778	1.0	2007-06-21	9	0	1	0.8791208791208791	0.35784313725490197	-0.5777777777777777	-0.6567164179104478	1.0
06-43	-1	2007-10-09	10	2007	STONERIDGE INVESTMENT PARTNERS, LLC v. SCIENTIFIC-ATLANTA, INC., ET AL	25.0	0.0	0.7894736842105263	0.38461538461538464	-0.6	-0.7142857142857143	2008-01-15	5	3	0	0.0	0.6067796610169491	0.23076923076923078	-0.6426735218508998	-0.831081081081081
06-457	-1	2007-11-28	11	2007	G. STEVEN ROWE, ATTORNEY GENERAL OF MAINE v. NEW HAMPSHIRE MOTOR TRANSPORT ASSOCIATION, et al.	10.0	-0.6666666666666666	-0.6666666666666666	1.0	0.2	0.4666666666666667	2008-02-20	9	0	0	-0.5190476190476191	-0.25301204819277107	1.0	-0.02040816326530612	0.004026845637583893
06-480	0	2007-03-26	03	2007	LEEGIN CREATIVE LEATHER PRODUCTS, INC. v. PSKS, INC., DBA KAY'S KLOSET . . . KAY'S SHOES	-9.0	-1.0	-0.3333333333333333	-1.0	0.6	1.0	2007-06-28	5	4	1	-0.7095238095238096	-0.2965779467680608	-0.5428571428571428	0.47068676716917923	0.7060575968222443
06-484	1	2007-03-28	03	2007	TELLABS, INC., et al. v. MAKOR ISSUES & RIGHTS, LTD., et al.	-5.0	0.25	-1.0	0.0	0.6	0.0	2007-06-21	8	1	1	0.25102880658436216	-0.7416413373860182	-0.06224066390041494	0.6941176470588235	-0.09747292418772563
06-5247	-1	2007-03-20	03	2007	JOHN FRANCIS FRY v. CHERYL K. PLILER, WARDEN	0.0	-0.6666666666666666	0.0	0.0	0.2	-1.0	2007-06-11	5	4	0	-0.3374340949033392	0.09885057471264368	-0.08108108108108109	-0.17530864197530865	-0.8766355140186916
06-5306	-1	2007-03-26	03	2007	KEITH BOWLES v. HARRY RUSSELL, WARDEN	-17.0	-0.2	0.14285714285714285	-1.0	-1.0	-0.5	2007-06-14	5	4	0	0.5	0.4059097978227061	-1.0	-0.6197183098591549	-0.48314606741573035
06-531	1	2007-04-17	04	2007	MICHAEL W. SOLE, SECRETARY, FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION, et al. v. T. A. WYNER, et al.	14.0	0.0	0.5555555555555556	-0.6	0.8	0.25	2007-06-04	9	0	1	0.2348401323042999	0.36964980544747084	-0.8988326848249028	0.14634146341463414	0.13677811550151975
06-5618	0	2007-02-20	02	2007	MARIO CLAIBORNE v. UNITED STATES	-7.0	0.3333333333333333	-1.0	-1.0	-1.0	-0.3333333333333333	2007-06-04	9	0	0	-0.005813953488372093	-0.3466003316749585	-1.0	-0.9120879120879121	0.6236933797909407
06-562	-1	2007-04-23	04	2007	UNITED STATES v. ATLANTIC RESEARCH CORPORATION	-6.0	0.3333333333333333	-0.3333333333333333	1.0	0.2	0.2	2007-06-11	9	0	0	0.11337868480725624	-0.4450084602368866	1.0	-0.18120805369127516	0.2188679245283019
06-571	0	2007-10-09	10	2007	MICHAEL A. WATSON v. UNITED STATES	13.0	0.42857142857142855	0.0	0.5	0.5	0.14285714285714285	2007-12-10	9	0	1	0.018803418803418803	-0.2648648648648649	-0.3333333333333333	0.19207317073170732	0.42857142857142855
06-5754	0	2007-02-20	02	2007	VICTOR A. RITA v. UNITED STATES	1.0	-0.4	-1.0	-0.6	0.3333333333333333	0.14285714285714285	2007-06-21	8	1	0	-0.09241379310344827	-0.1656441717791411	-0.2648221343873518	0.0	-0.5458276333789329
06-593	1	2007-04-16	04	2007	LONG ISLAND CARE AT HOME, LTD., et al. v. EVELYN COKE	13.0	1.0	-0.3333333333333333	0.0	0.6666666666666666	0.5	2007-06-11	9	0	1	1.0	-0.4125874125874126	-1.0	0.5683453237410072	0.6940639269406392
06-618	-1	2007-04-24	04	2007	OFFICE OF SENATOR MARK DAYTON v. BRAD HANSON	-28.0	-0.7777777777777778	0.0	-0.5	0.0	-1.0	2007-05-21	8	0	0	0.04161979752530934	-0.3162393162393162	-0.04230769230769231	0.0	-0.6625514403292181
06-6330	0	2007-10-02	10	2007	DERRICK KIMBROUGH v. UNITED STATES	13.0	0.3333333333333333	0.0	-1.0	0.5	0.5	2007-12-10	7	2	1	0.048723897911832945	-0.6641221374045801	-0.5494505494505495	0.6863905325443787	0.1829787234042553
06-637	-1	2007-10-01	10	2007	BOARD OF EDUCATION OF THE CITY SCHOOL DISTRICT OF THE CITY OF NEW YORK v. TOM F., ON BEHALF OF GILBERT F., A MINOR CHILD	6.0	1.0	-1.0	0.0	0.2631578947368421	0.5	2007-10-10	4	4	0	0.867595818815331	-1.0	0.0	0.4009478672985782	0.32537960954446854
06-6407	0	2007-04-18	04	2007	SCOTT LOUIS PANETTI v. NATHANIEL QUARTERMAN, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION	-7.0	1.0	-1.0	0.3333333333333333	-1.0	-1.0	2007-06-28	5	4	1	1.0	-0.35231316725978645	0.24158125915080528	-0.8891170431211499	-0.6986951364175563
06-666	0	2007-11-05	11	2007	DEPARTMENT OF REVENUE OF KENTUCKY, et al. v. GEORGE W. DAVIS, ET UX	13.0	1.0	0.0	-0.3333333333333333	0.8181818181818182	-1.0	2008-05-19	7	2	1	0.3372093023255814	0.49714285714285716	-0.504424778761062	0.37664618086040386	-1.0
06-6911	0	2007-10-30	10	2007	JAMES D. LOGAN v. UNITED STATES	-6.0	0.0	0.0	-1.0	-1.0	-0.2	2007-12-04	9	0	0	0.0	-0.7037037037037037	-0.84	-0.9212328767123288	-0.9045092838196287
06-694	0	2007-10-30	10	2007	UNITED STATES v. MICHAEL WILLIAMS	-16.0	0.3333333333333333	-0.3333333333333333	-1.0	-0.5	-0.3333333333333333	2008-05-19	7	2	1	0.36721728081321475	-0.2574430823117338	-0.5188679245283019	0.05063291139240506	0.621414913957935
06-713	0	2007-10-01	10	2007	WASHINGTON STATE GRANGE v. WASHINGTON STATE REPUBLICAN PARTY, et al.	10.0	0.0	0.5	0.5	-1.0	-0.3333333333333333	2008-03-18	7	2	1	0.0	0.012195121951219513	0.08085106382978724	-0.8390804597701149	-0.6549618320610687
06-7517	-1	2008-04-15	04	2008	IRIZARRY v. UNITED STATES	22.0	0.0	0.3333333333333333	1.0	0.8181818181818182	-0.3333333333333333	2008-06-12	5	4	0	1.0	0.17714285714285713	1.0	0.21739130434782608	-0.7847866419294991
06-766	1	2007-10-03	10	2007	NEW YORK STATE BOARD OF ELECTIONS, et al. v. MARGARITA LOPEZ TORRES ET AL	6.0	1.0	-0.2	-0.8	1.0	-1.0	2008-01-16	9	0	1	-0.06422018348623854	-0.23450134770889489	-0.6950904392764858	0.5124555160142349	-0.4144620811287478
06-7949	0	2007-10-02	10	2007	BRIAN MICHAEL GALL v. UNITED STATES	-6.0	0.2	-1.0	-1.0	-0.8	-0.23076923076923078	2007-12-10	7	2	1	0.23529411764705882	-0.5736677115987461	-1.0	-0.7767584097859327	0.2938187976291279
06-8120	0	2007-04-23	04	2007	BRUCE EDWARD BRENDLIN v. CALIFORNIA	-14.0	-0.6	1.0	-0.6363636363636364	-0.14285714285714285	-0.4	2007-06-18	9	0	1	0.010650887573964497	0.7111913357400722	0.1016949152542373	-0.13183279742765272	-0.11945392491467577
06-8273	0	2007-10-31	10	2007	STEPHEN DANFORTH v. MINNESOTA	-6.0	1.0	-1.0	-1.0	-0.75	-0.6666666666666666	2008-02-20	7	2	1	1.0	0.15775034293552812	-0.030927835051546393	-0.9505851755526658	-0.32229299363057323
06-84	1	2007-01-16	01	2007	SAFECO INSURANCE COMPANY OF AMERICA, et al. v. CHARLES BURR, et al.	-9.0	-0.2	-1.0	-1.0	0.2	-0.6363636363636364	2007-06-04	9	0	1	0.0945054945054945	-0.0743801652892562	-1.0	0.0436241610738255	-0.7948717948717948
06-856	1	2007-11-26	11	2007	JAMES LARUE v. DEWOLFF, BOBERG & ASSOCIATES, INC., ET AL	4.0	1.0	1.0	0.0	-1.0	-0.5714285714285714	2008-02-20	9	0	1	1.0	0.6025641025641025	0.0	-0.7219512195121951	-0.48336594911937375
06-9130	0	2007-10-29	10	2007	ABDUS-SHAHID M. S. ALI v. FEDERAL BUREAU OF PRISONS ET AL	14.0	1.0	-0.5	0.0	0.0	0.14285714285714285	2008-01-22	5	4	0	1.0	-0.009433962264150943	0.0	-0.8308157099697885	-0.36477987421383645
06-923	-1	2008-04-23	04	2008	METRO. LIFE INS. CO. v. GLENN	-2.0	0.3333333333333333	-0.5555555555555556	0.1111111111111111	0.3333333333333333	0.058823529411764705	2008-06-19	6	3	0	0.7343358395989975	-0.6912928759894459	0.028423772609819122	-0.05693069306930693	0.20414507772020726
06-937	1	2008-01-16	01	2008	QUANTA COMPUTER, INC., et al. v. LG ELECTRONICS, INC.	-1.0	0.5555555555555556	-1.0	-1.0	-0.42857142857142855	1.0	2008-06-09	9	0	1	0.7701149425287356	-1.0	-1.0	-0.34520276953511375	1.0
06-939	1	2008-03-19	03	2008	CHAMBER OF COMMERCE OF THE UNITED STATES v. BROWN	5.0	-1.0	-1.0	0.0	0.4117647058823529	0.2	2008-06-19	7	2	1	-0.40425531914893614	-1.0	1.0	0.2778457772337821	0.5940740740740741
06-969	1	2007-04-25	04	2007	FEDERAL ELECTION COMMISSION v. WISCONSIN RIGHT TO LIFE, INC.	9.0	1.0	0.0	0.0	-1.0	-0.5	2007-06-25	5	4	0	1.0	-1.0	-0.5069767441860465	-0.8028673835125448	-0.4562937062937063
06-984	1	2007-10-10	10	2007	JOSE ERNESTO MEDELLIN v. TEXAS	-22.0	0.6	0.18181818181818182	-0.6	-0.875	-0.29411764705882354	2008-03-25	6	3	0	0.715721464465183	0.33680297397769515	0.18335901386748846	-0.8137931034482758	-0.40369967355821545
06-989	0	2007-11-07	11	2007	HALL STREET ASSOCIATES, L.L.C. v. MATTEL, INC	7.0	0.2	1.0	0.7777777777777778	-0.4	0.09090909090909091	2008-03-25	6	3	0	0.32497387669801464	0.6206896551724138	0.3640552995391705	-0.49420442571127504	0.027522935779816515
07-1015	0	2008-12-10	12	2008	JOHN D. ASHCROFT, FORMER ATTORNEY GENERAL, et al. v. JAVAID IQBAL et al.	11.0	-0.7777777777777778	0.25	-1.0	0.2	1.0	2009-05-18	5	4	1	-0.018947368421052633	-0.5028248587570622	-1.0	0.32636469221835074	0.9181585677749361
07-10374	0	2008-12-03	12	2008	KEITH HAYWOOD v. CURTIS DROWN, et al.	27.0	0.3333333333333333	1.0	0.8461538461538461	-1.0	-0.3333333333333333	2009-05-26	5	4	1	0.2531914893617021	0.04746317512274959	0.21592649310872894	-0.9501466275659824	-0.12035010940919037
07-10441	0	2009-01-21	01	2009	JOHNNIE CORLEY v. UNITED STATES	-3.0	1.0	0.6	-1.0	-1.0	-0.5	2009-04-06	5	4	1	1.0	0.3156498673740053	-1.0	-0.8365384615384616	-0.05303030303030303
